carat,cut,color,clarity,depth,table,price,x,y,z
0.3,Ideal,G,SI2,61.9,57,422,4.28,4.31,2.66
1.01,Ideal,G,VS1,62.7,56,6951,6.4,6.35,4
1.12,Very Good,G,VVS1,60.9,57,8408,6.67,6.72,4.08
1.18,Good,G,SI1,64.2,62,4678,6.6,6.51,4.25
1,Fair,F,SI1,65.8,58,4657,6.23,6.15,4.07
1.21,Good,E,SI1,64.2,58,6708,6.65,6.59,4.25
0.31,Very Good,D,SI1,61.1,57,571,4.35,4.36,2.66
0.71,Very Good,G,VS1,63.3,56,2494,5.67,5.64,3.58
0.31,Very Good,D,SI1,61.7,59,571,4.31,4.35,2.67
1.21,Ideal,J,SI1,62.7,55,5489,6.84,6.79,4.27
0.38,Ideal,H,IF,60,60,1064,4.71,4.76,2.84
1.52,Premium,J,VS1,61.2,59,8216,7.36,7.39,4.51
0.3,Very Good,H,VS1,63.3,57,675,4.25,4.22,2.68
0.42,Ideal,G,SI1,63,55,882,4.81,4.77,3.02
0.52,Ideal,F,VVS2,62.5,57,2064,5.15,5.19,3.23
0.5,Very Good,E,VS2,63.4,59,1629,5.09,5.06,3.22
0.39,Ideal,D,VVS2,61.8,57,1232,4.67,4.71,2.9
0.92,Premium,I,SI1,58.8,59,3545,6.36,6.33,3.73
0.7,Ideal,D,VS1,62.8,53.4,3618,5.64,5.68,3.55
0.59,Very Good,I,VS2,60.3,59,1445,5.41,5.43,3.27
0.23,Good,F,VVS2,64.5,55,425,3.83,3.86,2.48
0.58,Very Good,H,SI1,61.8,56,1219,5.34,5.38,3.31
1.17,Premium,H,SI1,62.6,59,4631,6.78,6.71,4.22
0.34,Good,E,SI1,63.5,55,556,4.44,4.47,2.83
0.5,Ideal,D,SI2,62.4,56,1239,5.06,5.1,3.17
0.7,Very Good,E,SI1,59.9,63,2777,5.76,5.7,3.43
0.3,Ideal,H,VS2,61.9,54.6,486,4.27,4.33,2.67
0.3,Ideal,E,VVS2,62.3,54,742,4.31,4.36,2.7
2.1,Fair,G,I1,64.6,58,6597,8.05,8.01,5.19
1.52,Premium,J,SI1,61,59,6367,7.41,7.35,4.5
1.5,Very Good,H,VVS2,62.9,59,11748,7.26,7.31,4.58
0.3,Ideal,G,VVS2,62.4,57,665,4.27,4.29,2.67
0.34,Ideal,H,VVS1,62.3,54,722,4.46,4.5,2.79
0.5,Fair,F,SI2,65.5,54,1031,5.06,4.92,3.25
1.01,Ideal,D,SI2,62.5,57,5206,6.39,6.35,3.98
0.32,Ideal,D,SI2,59.5,57,477,4.47,4.5,2.67
0.61,Ideal,D,VVS1,62.1,56,4241,5.43,5.46,3.38
0.3,Premium,E,VS2,60.7,59,658,4.3,4.33,2.62
0.32,Very Good,G,VVS1,61.2,59,876,4.41,4.45,2.71
1.56,Very Good,I,SI1,62.9,58,7584,7.31,7.35,4.61
1.02,Very Good,H,SI1,63.7,55,4552,6.31,6.38,4.04
1.11,Premium,H,SI2,61.5,59,4212,6.61,6.56,4.05
0.52,Ideal,G,VVS1,62.1,56,1829,5.15,5.17,3.2
0.29,Ideal,H,IF,62.1,55,607,4.26,4.29,2.65
1.01,Very Good,H,SI1,63.3,56,4669,6.35,6.39,4.03
1.19,Ideal,G,VS1,61.9,55,8034,6.81,6.87,4.22
0.32,Ideal,G,IF,61.2,57,954,4.4,4.43,2.7
1.21,Premium,H,SI1,61.6,61,6505,6.88,6.83,4.22
1.21,Good,J,VS2,61,64,5096,6.89,6.79,4.17
0.7,Very Good,F,SI2,60.9,58,1940,5.7,5.77,3.49
2.02,Very Good,G,SI2,63.1,57,12094,8.01,7.97,5.04
0.53,Ideal,G,SI1,61.1,55,1549,5.24,5.26,3.21
1.32,Premium,F,SI2,60.6,60,6541,7.05,7.1,4.29
0.36,Ideal,H,IF,61.9,57,947,4.55,4.6,2.83
0.4,Premium,F,VS2,61,58,1080,4.79,4.72,2.9
1.01,Ideal,F,VVS2,61.8,56,8532,6.46,6.49,4
0.77,Ideal,D,SI1,62.6,57,2898,5.92,5.81,3.67
1.1,Very Good,D,SI1,60.7,55,6352,6.71,6.74,4.08
0.42,Premium,G,VS1,59.4,59,984,4.9,4.86,2.9
0.91,Premium,D,SI2,61.1,60,4123,6.24,6.29,3.83
0.7,Ideal,H,VS2,61.2,57,3145,5.73,5.77,3.52
0.28,Very Good,G,VS2,62,56,427,4.16,4.19,2.59
0.31,Very Good,F,VS1,61.8,58,592,4.29,4.35,2.67
1.01,Premium,I,SI2,60.5,60,4072,6.52,6.5,3.94
1,Ideal,D,SI2,62.7,58,5246,6.34,6.39,3.99
0.54,Premium,D,VVS1,61.4,57.5,3194,5.25,5.28,3.23
1.52,Very Good,J,VVS2,62.1,60,11392,7.33,7.36,4.56
0.54,Ideal,G,VVS1,62.2,56,2123,5.2,5.22,3.24
0.52,Ideal,E,VVS2,61.8,56,2301,5.16,5.19,3.2
2.01,Premium,J,VS1,60.1,59,15185,8.25,8.18,4.94
0.32,Premium,E,VVS2,59.9,58,1080,4.5,4.45,2.68
0.91,Good,F,VVS2,62.6,61,5225,6.12,6.19,3.85
0.38,Ideal,E,VVS2,60.9,56,1068,4.71,4.68,2.06
0.32,Premium,I,SI1,61.1,59,540,4.42,4.38,2.69
0.55,Ideal,G,VVS2,62,57,2022,5.22,5.26,3.25
0.38,Ideal,G,VVS1,61.9,56,993,4.67,4.7,2.9
0.4,Very Good,E,SI2,61.4,57,666,4.68,4.74,2.89
0.91,Ideal,D,VS2,60.9,57,6444,6.26,6.32,3.83
1.04,Premium,D,SI2,59.8,58,5154,6.61,6.56,3.94
1.2,Ideal,J,SI1,61.9,57,5071,6.8,6.87,4.23
0.72,Ideal,E,SI1,60.8,57,3409,5.77,5.8,3.52
0.79,Very Good,J,VS2,60.8,56,2300,5.98,6.02,3.65
0.71,Very Good,H,VS2,62.6,59,2395,5.66,5.68,3.55
1.22,Ideal,J,VS2,62.1,58,5297,6.82,6.84,4.24
0.3,Premium,E,VS2,62.9,58,844,4.24,4.22,2.66
0.4,Premium,F,VVS2,60.8,59,1088,4.72,4.76,2.88
0.32,Premium,I,VS1,61,60,648,4.47,4.42,2.71
1.71,Premium,H,VS2,58.8,60,12607,7.85,7.8,4.6
0.49,Premium,E,SI2,60.9,57,1011,5.11,5.07,3.1
0.31,Good,G,VS1,63.3,57,583,4.28,4.31,2.72
1.02,Very Good,H,SI1,63.4,57,4884,6.42,6.36,4.05
0.34,Ideal,D,IF,59.8,57,2346,4.59,4.57,2.74
0.91,Premium,H,VS2,59.9,62,4128,6.33,6.26,3.77
0.35,Very Good,D,SI2,62.4,57,487,4.47,4.5,2.8
0.3,Ideal,I,VVS1,62.4,56,709,4.32,4.3,2.69
0.51,Ideal,D,SI1,61.6,56,1687,5.12,5.1,3.15
2.02,Premium,I,SI2,61.1,61,13991,8.11,8.08,4.95
0.32,Premium,G,VS2,62.6,60,720,4.36,4.33,2.72
0.3,Ideal,D,SI1,61.3,57,670,4.34,4.37,2.67
1.21,Good,E,I1,64,57,4201,6.73,6.67,4.29
1.62,Ideal,I,VS1,60.8,56,11152,7.56,7.61,4.62
0.5,Good,J,SI1,59.6,60,959,5.15,5.18,3.08
0.7,Very Good,I,SI2,62.5,58,1580,5.64,5.72,3.55
1.21,Good,I,VS2,64.1,61,5028,6.7,6.66,4.28
0.71,Good,F,VS2,63,59,2320,5.59,5.65,3.54
1.24,Ideal,F,VS2,61.4,57,9073,6.98,6.86,4.25
1.5,Premium,E,SI2,62.7,59,8316,7.3,7.22,4.55
1.28,Premium,G,VS2,62.2,59,9032,6.94,6.89,4.3
0.5,Fair,D,VVS2,67.6,57,1980,4.95,4.84,3.31
0.4,Ideal,G,IF,63.1,54,1239,4.69,4.73,2.97
1.2,Ideal,I,VS2,62.6,57,4844,6.74,6.67,4.2
0.39,Very Good,F,VS2,58.4,62,821,4.76,4.79,2.79
0.53,Very Good,G,VS1,60.9,56,1636,5.24,5.27,3.2
1.01,Very Good,E,SI1,59.9,59,5224,6.46,6.49,3.88
1.02,Premium,I,SI1,60.2,60,3713,6.45,6.39,3.87
0.54,Premium,F,VS2,61.8,58,1786,5.29,5.22,3.25
0.23,Very Good,D,VS2,60.2,57,577,4.02,4.07,2.43
1,Very Good,E,SI1,63.2,57,5396,6.39,6.36,4.03
0.31,Premium,H,VS2,62.4,59,628,4.34,4.31,2.7
0.32,Ideal,F,VS2,61.9,55,773,4.45,4.41,2.74
0.31,Premium,F,VS2,61.8,59,802,4.33,4.31,2.67
0.4,Very Good,H,VS1,62.7,56,807,4.71,4.73,2.96
0.23,Ideal,G,VVS1,61.9,58,536,3.93,3.96,2.44
0.74,Fair,G,VVS2,65.2,58,2959,5.7,5.6,3.69
0.41,Premium,E,SI1,61.3,58,755,4.76,4.8,2.93
1.67,Premium,H,SI2,61.6,57,9625,7.66,7.61,4.7
0.31,Ideal,D,VVS2,61.9,56,982,4.39,4.37,2.71
0.41,Premium,E,VS1,60.7,58,1153,4.83,4.79,2.92
0.8,Very Good,F,SI1,62.6,58,2862,5.9,5.92,3.7
1.54,Very Good,F,VS2,60.8,58,13735,7.43,7.56,4.56
1.09,Ideal,F,VS2,61.2,56,7238,6.68,6.65,4.08
0.7,Very Good,J,SI2,61.7,59,1788,5.64,5.67,3.49
1,Premium,E,SI2,61.4,61,4704,6.41,6.36,3.92
0.33,Ideal,F,VVS1,61.9,54,880,4.42,4.46,2.75
0.3,Ideal,F,VS1,61.7,56,731,4.34,4.32,2.67
1.02,Very Good,F,VS2,61.8,57,6047,6.4,6.44,3.97
0.31,Ideal,D,SI2,62.1,57,593,4.34,4.32,2.69
1.24,Very Good,I,VS1,59.4,58,6754,7.04,7.09,4.2
0.7,Fair,G,I1,67.3,57,956,5.53,5.38,3.68
0.9,Good,I,IF,63.7,64,3734,6.02,6.07,3.85
1.04,Ideal,G,SI2,62,56,4752,6.52,6.49,4.03
1.01,Ideal,G,SI2,62.8,56,4269,6.4,6.44,4.03
0.37,Premium,F,VS2,60.6,58,957,4.67,4.63,2.82
0.35,Ideal,D,SI2,61.8,57,522,4.53,4.57,2.81
0.26,Good,D,VS2,65.2,56,403,3.99,4.02,2.61
0.76,Ideal,I,VS2,61.8,58,2551,5.84,5.87,3.62
0.3,Very Good,F,VS1,60.9,63,704,4.26,4.31,2.61
0.33,Premium,D,VS2,61.2,58,781,4.41,4.44,2.71
0.26,Premium,E,VVS2,60.8,61,724,4.13,4.12,2.51
0.92,Premium,E,SI1,62.2,58,4562,6.18,6.23,3.86
0.7,Good,D,SI1,64.2,60,2298,5.59,5.62,3.6
1.07,Ideal,H,SI2,59.2,57,4314,6.7,6.64,3.95
0.8,Very Good,E,SI2,62.6,59,3070,5.84,5.91,3.68
0.7,Ideal,I,VS2,61.1,57,2111,5.7,5.75,3.5
0.55,Very Good,E,VS2,62.3,61,1669,5.16,5.21,3.23
0.94,Very Good,D,SI2,62,57,3634,6.28,6.34,3.91
0.63,Premium,H,VVS1,61.3,61,2177,5.49,5.44,3.35
0.4,Ideal,E,VVS2,61.8,56,1158,4.74,4.77,2.94
1.04,Very Good,F,SI2,62.8,55,4244,6.41,6.48,4.05
2.02,Fair,J,SI2,67.5,59,9095,7.76,7.65,5.2
0.44,Ideal,E,VVS2,60.9,57,1334,4.95,4.9,3
